# from Simon Lovell
# Plot count:  65342
0	0	0.0001683450
0	1	0.0000459123
0	2	0.0000153041
0	3	0.0000153041
0	4	0.0000153041
0	5	0.0000153041
0	6	0.0000153041
0	7	0.0000153041
0	8	0.0000153041
0	9	0.0000153041
0	10	0.0000153041
0	11	0.0000153041
0	12	0.0000153041
0	13	0.0000153041
0	14	0.0000153041
0	15	0.0000153041
0	16	0.0000153041
0	17	0.0000153041
0	18	0.0000153041
0	19	0.0000153041
0	20	0.0000153041
0	21	0.0000153041
0	22	0.0000153041
0	23	0.0000153041
0	24	0.0000153041
0	25	0.0000153041
0	26	0.0000306082
0	27	0.0000612164
0	28	0.0000306082
0	29	0.0000153041
0	30	0.0000459123
0	31	0.0000918246
0	32	0.0001377368
0	33	0.0003366900
0	34	0.0006427719
0	35	0.0004744269
1	0	0.0005815555
1	1	0.0001224327
1	2	0.0000459123
1	3	0.0000153041
1	4	0.0000153041
1	5	0.0000153041
1	6	0.0000153041
1	7	0.0000153041
1	8	0.0000306082
1	9	0.0000153041
1	10	0.0000153041
1	11	0.0000153041
1	12	0.0000153041
1	13	0.0000153041
1	14	0.0000153041
1	15	0.0000153041
1	16	0.0000153041
1	17	0.0000153041
1	18	0.0000459123
1	19	0.0000306082
1	20	0.0000306082
1	21	0.0000306082
1	22	0.0000459123
1	23	0.0000459123
1	24	0.0000306082
1	25	0.0000612164
1	26	0.0000459123
1	27	0.0001071286
1	28	0.0000918246
1	29	0.0001377368
1	30	0.0001989532
1	31	0.0005815555
1	32	0.0013467601
1	33	0.0026782162
1	34	0.0031679471
1	35	0.0015457133
2	0	0.0007345964
2	1	0.0002907778
2	2	0.0000612164
2	3	0.0000612164
2	4	0.0000153041
2	5	0.0000153041
2	6	0.0000306082
2	7	0.0000153041
2	8	0.0000306082
2	9	0.0000306082
2	10	0.0000459123
2	11	0.0000459123
2	12	0.0000306082
2	13	0.0000306082
2	14	0.0000306082
2	15	0.0000612164
2	16	0.0000153041
2	17	0.0000459123
2	18	0.0000306082
2	19	0.0000765205
2	20	0.0000765205
2	21	0.0000306082
2	22	0.0001224327
2	23	0.0000612164
2	24	0.0001377368
2	25	0.0001224327
2	26	0.0000765205
2	27	0.0002142573
2	28	0.0004744269
2	29	0.0004744269
2	30	0.0010100701
2	31	0.0021119647
2	32	0.0031832512
2	33	0.0046218359
2	34	0.0054023446
2	35	0.0024639589
3	0	0.0007805087
3	1	0.0002907778
3	2	0.0000612164
3	3	0.0000153041
3	4	0.0000306082
3	5	0.0000153041
3	6	0.0000612164
3	7	0.0000153041
3	8	0.0000306082
3	9	0.0000306082
3	10	0.0001071286
3	11	0.0000459123
3	12	0.0001071286
3	13	0.0000153041
3	14	0.0000306082
3	15	0.0001224327
3	16	0.0000306082
3	17	0.0001071286
3	18	0.0001836491
3	19	0.0002754737
3	20	0.0002295614
